,parquetFile,fileName,coinTag,pairedCurr,coefVariation,meanC,stdDevC,meanVol
127,fttusd.gzip,fttusd.csv,ftt,usd,0.3504700871144052,2.9926494100719423,1.048834099450787,738.011237672495
129,funusd.gzip,funusd.csv,fun,usd,0.8134574415359058,0.05587726828630815,0.04545377970019564,20943.968006254323
131,genusd.gzip,genusd.csv,gen,usd,0.42705866254249053,0.13132389241411654,0.056083005854246526,586.0486283434271
133,gnousd.gzip,gnousd.csv,gno,usd,0.5844012205947379,36.19376641399417,21.151681270259022,6.647635488903789
136,gntusd.gzip,gntusd.csv,gnt,usd,0.9459465054264414,0.3506062299847316,0.3316547380347961,2728.7545347657206
138,gotusd.gzip,gotusd.csv,got,usd,0.37068030670489227,0.5383497039010408,0.19955563335652574,1836.5004322017787
139,gsdusd.gzip,gsdusd.csv,gsd,usd,0.2126636674864212,1.0267285914396886,0.21834786776873155,2092.3336054150573
140,gtxusd.gzip,gtxusd.csv,gtx,usd,0.11844536129770358,0.4928859606257016,0.05838005568487693,49.955442810845675
142,hezusd.gzip,hezusd.csv,hez,usd,0.04987254614121813,4.303817633446467,0.21464234350744715,20.773453392011724
144,hotusd.gzip,hotusd.csv,hot,usd,0.9755511785890751,0.011657607762594094,0.01137259299232782,13561.555308555518
145,impusd.gzip,impusd.csv,imp,usd,0.7094858241471008,0.01389710767768595,0.009859800893964018,11034.395423913771
146,iosusd.gzip,iosusd.csv,ios,usd,0.5709152321014097,0.032718633181693615,0.018679566056967495,14092.423880559094
153,iotusd.gzip,iotusd.csv,iot,usd,1.0622311669169826,0.8858517512664769,0.9409793394632423,13008.690272266995
154,iqxusd.gzip,iqxusd.csv,iqx,usd,1.9519066358609733,0.004093873210466879,0.007990858285883768,38713.29177113656
158,jstusd.gzip,jstusd.csv,jst,usd,0.12012244730181774,0.023601304964043845,0.0028350465117974863,728.596263066084
160,kanusd.gzip,kanusd.csv,kan,usd,0.39140158247399914,0.003290920921173684,0.0012880716563441709,4977.982461425434
163,kncusd.gzip,kncusd.csv,knc,usd,0.49925483985102875,0.9192603694990313,0.45894518855563643,451.5163073123512
164,ksmusd.gzip,ksmusd.csv,ksm,usd,0.27375226621393756,40.85992115728774,11.185496014130333,1.6010954641603699
169,leousd.gzip,leousd.csv,leo,usd,0.19715785588632037,1.1862487045615795,0.23387825113928612,427.1935360255235
172,linkusd.gzip,linkusd.csv,link,usd,,,,
175,lrcusd.gzip,lrcusd.csv,lrc,usd,0.720327779970967,0.4010844261304196,0.28891225425545447,1422.131806739513
178,ltcusd.gzip,ltcusd.csv,ltc,usd,0.8572910120898373,66.83675630893782,57.29855046089112,168.1432609311638
180,lymusd.gzip,lymusd.csv,lym,usd,1.1138898107606054,0.018414698089744816,0.020511944570399534,5464.952449770041
181,manusd.gzip,manusd.csv,man,usd,0.2783398993917418,0.21205405306057218,0.059023103794490744,2629.5706491416513
182,mgousd.gzip,mgousd.csv,mgo,usd,0.7206846032406828,0.2962843023091047,0.21352753485607964,1112.6012618180903
185,mkrusd.gzip,mkrusd.csv,mkr,usd,0.23775461005182386,552.3602405085037,131.32619359023093,1.4766051989540327
186,mlnusd.gzip,mlnusd.csv,mln,usd,0.8396859476869548,25.416253584712663,21.341670977931415,3.951159938613075
188,mnausd.gzip,mnausd.csv,mna,usd,0.40302665066472787,0.11231499708217653,0.04526593709344829,7303.519622539291
189,mtnusd.gzip,mtnusd.csv,mtn,usd,0.5832297920744076,0.08871841967466283,0.05174322546002364,16486.452186104216
190,ncausd.gzip,ncausd.csv,nca,usd,39.51586449558944,0.04005084224611162,1.5826436551315757,33558.25186241263
192,necusd.gzip,necusd.csv,nec,usd,0.5236023570463606,0.14928065880853778,0.07816370481358394,5137.677050491592
198,neousd.gzip,neousd.csv,neo,usd,1.0106500140895358,34.91891861081043,35.29080558600691,265.17748407223735
199,nutusd.gzip,nutusd.csv,nut,usd,0.06382335376226508,23.32911111111111,1.4889421114036334,59.80420782555556
201,odeusd.gzip,odeusd.csv,ode,usd,0.5488166090042639,0.1770190530210289,0.09715099640814708,2527.160025615664
202,okbusd.gzip,okbusd.csv,okb,usd,0.07879935863433658,4.993796807272498,0.3935079855632706,1.2003373009155107
206,omgusd.gzip,omgusd.csv,omg,usd,0.818964282890799,6.9477429069789585,5.689953287523658,993.0949284704496
208,omnusd.gzip,omnusd.csv,omn,usd,0.6255135965343588,2.780350866873065,1.7391472703651933,55.64161925817295
209,onlusd.gzip,onlusd.csv,onl,usd,0.39363066830663396,0.05853403385056099,0.023040790863279457,1903.7389770262546
210,orsusd.gzip,orsusd.csv,ors,usd,0.309298426815072,0.03527268206062932,0.010909785070900862,33420.76129025629
211,paiusd.gzip,paiusd.csv,pai,usd,2.1157625785615934,0.08761949532157923,0.18538204935384994,973.6116897237636
212,pasusd.gzip,pasusd.csv,pas,usd,1.168042492373903,0.0026410598457087754,0.0030848701246903136,74969.51890561178
213,paxusd.gzip,paxusd.csv,pax,usd,0.018023281448485633,1.0220298251999933,0.018420331188326054,68.19216531395412
215,pluusd.gzip,pluusd.csv,plu,usd,0.1354768222016285,5.575739298151621,0.75538344153832,6.633754930326814
217,pnkusd.gzip,pnkusd.csv,pnk,usd,1.0666014672212938,0.04898467511181268,0.052247126345617796,11129.604764201762
218,poausd.gzip,poausd.csv,poa,usd,0.9828359182712864,0.14660036746676514,0.14408410677810612,2005.8159862413736
219,qshusd.gzip,qshusd.csv,qsh,usd,0.5941634118642911,0.9004308102135747,0.5350030423442256,2933.7721418352317
221,qtmusd.gzip,qtmusd.csv,qtm,usd,0.833175476244848,20.328002629028106,16.936793271547014,164.78066724209435
223,rbtusd.gzip,rbtusd.csv,rbt,usd,0.17977026549262742,10696.884825061024,1922.9818249452778,0.008845052279292108
224,rcnusd.gzip,rcnusd.csv,rcn,usd,0.662070918604626,0.1290355488617784,0.08543068436756972,4034.3141962177347
225,rdnusd.gzip,rdnusd.csv,rdn,usd,0.799927622013287,0.8460948855901521,0.6768146698277345,469.7188366693645
227,repusd.gzip,repusd.csv,rep,usd,0.4442278331570171,32.345675815134584,14.368849479356568,27.800907932956832
